Film,Director,Year,Seen
Escóndete y Tiembla,John Hough,1998,
Human Highway,Dean Stockwell; Neil Young,1982,
Slacker,Richard Linklater,1991,
Un Dos Tres... Al escondite Inglés,Iván Zulueta; J.L. Borau,1970,
Jackie Brown,Quentin Tarantino,1997,
Heathers,Michael Lehmann,1989,
The Wizard of Gore,Herschell Gordon Lewis,1970,
Paris; Texas,Wim Wenders,1984,
Poltergeist,Tobe Hooper,1982,
Dracula,Tod Browning,1931,
Chucky; El muñeco diabólico,Tom Holland,1988,
La Carrera de la Muerte del Año 2000,Paul Bartel,1975,
Tesis,Alejandro Amenabar,1996,
House,Nobuhiko Obayashi,1977,
Desperate Living,John Waters,1977,
Ghost World,Terry Zwigoff,2001,
American Psycho,Mary Harron,2000,
But I´m a Cheerleader,Jamie Babbit,1999,
Un Perro Andaluz,Luis Buñuel,1929,
2000 Maníacos,Herschell Gordon Lewis,1964,
Bad Taste,Peter Jackson,1987,
Videodrome,David Cronenberg,1983,
Funny Games,Michael Haneke,1997,
Decoder,Muscha,1984,
Maty Poppins,Robert Stevenson,1964,
El Color de la Granada,Sergei Parajanov,1969,
Mi Tío,Jaques Tati,1958,
La Maldición de las Brujas,Nicolas Roeg,1990,
Jóvenes y Brujas,Andrew Fleming,1996,
Extraños en el Paraíso, Jim Jarmusch, 1984,
El Mago de Oz,Victor Fleming,1939,
Harold y Maude,Hal Ashby,1971,
Pesadilla en Elm Street,Wes Craven,1984,
Scream 2, Wes Craven, 1997,
La Semilla del Diablo,Roman Polanski,1968,
Scream,Wes Craven,1996,
Go Fish, Rose Troche,1994,
La Matanza de Texas, Tobe Hooper,1974,
Café Flesh,Stephen Sayadian,1982,
Un Día; Un Gato,Vojtech Jasny,1963,
El Pico,Eloy de la Iglesia,1983,
El Robobo de la Jojoya,Alvaro Sáenz de Heredia,1991,
Mutantes en la Universidad,Richard W. Haines; Lloyd Kaufman,1986,
Gizmo,Howard Smith,1977,
Total,José Luis Cuerda,1983,
Re-Animator,Sturt Gordon,1985,
You Are Not I,Sara Driver, 1981,
Terciopelo Azul,David Lynch,1986,
Zombi,George A. Romero,1978,
La Noche de los Muertos Vivientes,George A. Romero,1968,